meting,20,60,85,DOI,Haze,Rspec,zone
1,0.8,8,0.3,0,1.9,0.2,1lb
2,0.9,9.3,0.4,0,1.9,0.2,1lb
3,0.7,8.2,0.4,0,1.4,0.1,1lb
4,2.2,14.9,0.4,5.3,4.6,0.4,1lo
5,3.3,18.9,0.4,2.6,6,0.6,1lo
6,2.3,15.9,0.3,2.1,4.9,0.4,1lo
7,0.5,5.7,0.2,0,1,0.1,1rb
8,0.5,5.9,0.2,0,1,0.1,1rb
9,0.5,5.6,0.3,0,1,0.1,1rb
10,1.4,13.5,0.5,2.3,3,0.3,1ro
11,1.3,12.9,0.4,3.5,2.7,0.3,1ro
12,1.3,10.8,0.4,2.8,2.9,0.3,1ro
13,5.9,27,1.6,2.3,8,0.9,2lb
14,6.9,29.4,1.7,3.3,7.8,1.1,2lb
15,7.3,29.8,1.6,3.8,8.1,1.1,2lb
16,3.5,23.2,1.5,0.5,5.8,0.6,2lo
17,4.2,25.6,1.6,1.2,7.2,0.7,2lo
18,3.7,26.7,2.4,2.3,6.7,0.6,2lo
19,2.8,19,1.3,1.5,4.6,0.5,2rb
20,2.5,17.3,1,2.2,4.3,0.4,2rb
21,3.4,23.2,1.1,3.1,5.4,0.6,2rb
22,4.3,26.8,1.2,1.3,7.2,0.7,2ro
23,6.4,29.9,1.5,3,9.6,1,2ro
24,3.7,24.9,1.4,2,6.6,0.6,2ro
25,0.2,2.5,0.4,0,0,0,3lb
26,0.2,2.7,0.6,0,0,0,3lb
27,0.2,2.6,0.3,0,0.1,0,3lb
28,0.3,3.8,0.4,0,0.2,0.1,3lo
29,0.3,3.9,0.4,0,0.2,0.1,3lo
30,0.3,3.8,0.4,0,0.2,0.1,3lo
31,0.3,4.4,0.2,0,0.4,0.1,3rb
32,0.3,4.4,0.2,0,0.4,0.1,3rb
33,0.4,4.9,0.4,0,0.6,0.1,3rb
34,0.3,4.3,0.4,0,0.4,0.1,3ro
35,0.3,3.8,0.4,0,0.3,0.1,3ro
36,0.3,4.5,0.4,0,0.4,0.1,3ro
37,0.4,4.1,0.8,0,0.8,0.1,4lb
38,0.5,5.3,0.7,0,1,0.1,4lb
39,0.5,5,0.6,0,0.9,0.1,4lb
40,1.6,15.2,0.6,1.2,4,0.3,4lo
41,1.5,14.1,0.7,1.4,3.6,0.3,4lo
42,1.5,13.7,0.6,1.5,3.7,0.3,4lo
43,1.2,14.3,0.9,1.1,2.2,0.2,4rb
44,1.1,13.2,0.8,1.2,2,0.2,4rb
45,1,14.1,0.8,2.4,1.9,0.2,4rb
46,1.4,14.9,0.5,1.8,3.6,0.3,4ro
47,1.7,16.4,0.6,1.4,4.3,0.3,4ro
48,1.2,13.9,1.1,0.8,2.9,0.2,4ro
49,1.7,19.4,1.3,1.8,3.6,0.3,5lb
50,1.4,17.6,0.9,1.4,3.1,0.3,5lb
51,1.8,17.7,1,2.9,3.8,0.4,5lb
52,0.5,7.5,0.5,0,1.1,0.1,5lo
53,0.5,7.5,0.1,0,1.1,0.1,5lo
54,0.5,6.5,0.5,0,1,0.1,5lo
55,2.7,25.5,0.8,2.6,4.9,0.5,5rb
56,2.4,21.5,0.6,2.5,4.7,0.4,5rb
57,2.3,20.8,0.6,2.2,4.7,0.4,5rb
58,0.7,9,0.5,0,1.6,0.1,5ro
59,0.5,7.9,0.8,0,1.2,0.1,5ro
60,0.5,7.8,1,0,1.1,0.1,5ro
61,5,31.7,2.3,2.4,6.7,0.8,6lb
62,6.7,30.3,2.4,4.4,7,1.1,6lb
63,4.2,27.5,1.5,5.4,5.1,0.7,6lb
64,22.7,50.8,1.6,11.5,8.6,3.6,6lo
65,20.5,51.3,2.6,9.6,8.3,3.3,6lo
66,20.8,51.6,2.7,8.5,8.6,3.3,6lo
67,8.8,38.9,1,4,8,1.4,6rb
68,8.9,40.8,0.6,4.4,7.9,1.4,6rb
69,10.9,43.3,0.7,5.8,8.7,1.7,6rb
70,6.3,38.5,0.7,3.4,6.8,1,6ro
71,5.7,32.1,0.9,3.5,5.9,0.9,6ro
72,6.9,38.9,0.7,4.8,6.9,0.7,6ro
73,10.1,37.2,0.4,15.1,3.5,1.8,7lb
74,2.7,21.4,0.4,9.7,1.6,0.5,7lb
75,5.9,23.8,0.6,13.8,2.7,1.1,7lb
76,1.3,11.9,0.2,25.3,1.2,0.3,7lo
77,8.4,19.4,3,15.4,2.8,1.5,7lo
78,3.7,9.2,1.4,7.4,1.9,0.6,7lo
79,33.7,54.8,1.2,4.5,5.8,5,7rb
80,16.7,50.7,0.3,5.1,10.8,2.4,7rb
81,23.9,53,0.4,2.6,8,3.3,7rb
82,2.4,15.8,0.5,4.1,3.4,0.4,7ro
83,2.2,15.8,0.5,2.6,3.2,0.4,7ro
84,2.3,15.8,0.5,4.3,3.3,0.4,7ro
85,8.8,37.4,1.2,2,14.3,1.4,bc
86,17,54.8,0.9,3.6,21.1,2.6,bc
87,12.2,41.5,1.2,1.8,18.8,1.9,bc
88,45.8,93,5,10.4,14.7,7.8,r6
89,41.1,87.5,6.6,7.3,19.9,6.3,r6
90,33.9,88.7,2.2,13.6,19.2,5.4,r6
91,17,48.1,0.8,10.5,12.8,2.6,rpva
92,32.4,79.6,1.1,8.4,18.7,4.9,rpva
93,32.6,82.9,1.7,7.5,26.1,4.9,rpva
